,output_file,content,restriction,sub_content
159,１３,路面铣平、翻修机械设备制造,,路面铣平、翻修机械设备制造
160,（十三 ),医药工业,,医药工业
161,１,受我国专利保护或行政保护的化学原料药，需进口的医药专用中间体,,受我国专利保护或行政保护的化学原料药，需进口的医药专用中间体
162,２,采用新技术设备生产解热镇痛药,,采用新技术设备生产解热镇痛药
163,３,维生素类：烟酸,,维生素类：烟酸
164,４,新型抗癌药物及新型心脑血管药,,新型抗癌药物及新型心脑血管药
165,５,药品制剂：采用缓释、控释、靶向、透皮吸收等新技术的新剂型、新产品,,药品制剂：采用缓释、控释、靶向、透皮吸收等新技术的新剂型、新产品
166,６,氨基酸类：丝氨酸、色氨酸、组氨酸等,,氨基酸类：丝氨酸、色氨酸、组氨酸等
167,７,新型药品包装材料、容器及先进的制药设备,,新型药品包装材料、容器及先进的制药设备
168,８,新型、高效、经济的避孕药具,,新型、高效、经济的避孕药具
169,９,中成药产品质量控制、改变剂型包装的新技术、新设备、新仪器,,中成药产品质量控制、改变剂型包装的新技术、新设备、新仪器
170,１０,中药有效成分分析的新技术、提取的新工艺、新设备,,中药有效成分分析的新技术、提取的新工艺、新设备
171,１１,采用生物工程技术生产的新型药物,,采用生物工程技术生产的新型药物
172,１２,新型佐剂的开发应用,,新型佐剂的开发应用
173,１３,肝炎、艾滋病及放射免疫类等诊断试剂生产,,肝炎、艾滋病及放射免疫类等诊断试剂生产
174,（十四 ),医疗器械制造业,,医疗器械制造业
175,１,具有中频技术、计算机控制技术和数字图象处理技术，辐射剂量小的８０千瓦及以上医用Ｘ线机组,,具有中频技术、计算机控制技术和数字图象处理技术，辐射剂量小的８０千瓦及以上医用Ｘ线机组
176,２,电子内窥镜,,电子内窥镜
177,３,医用导管,,医用导管
178,（十五 ),航天航空工业,,航天航空工业
179,１,民用飞机设计与制造（中方控股或占主导地位）,中方控股或占主导地位,民用飞机设计与制造
180,２,民用飞机零部件制造,,民用飞机零部件制造
181,３,航空发动机设计与制造（中方控股或占主导地位）,中方控股或占主导地位,航空发动机设计与制造
182,４,航空机载设备制造,,航空机载设备制造
183,５,轻型燃气轮机制造,,轻型燃气轮机制造
184,６,民用卫星设计与制造（中方控股或占主导地位）,中方控股或占主导地位,民用卫星设计与制造
185,７,民用卫星有效载荷制造（中方控股或占主导地位）,中方控股或占主导地位,民用卫星有效载荷制造
186,８,民用卫星零部件制造,,民用卫星零部件制造
187,９,民用卫星应用技术开发,,民用卫星应用技术开发
188,１０,民用运载火箭设计与制造（中方控股或占主导地位）,中方控股或占主导地位,民用运载火箭设计与制造
189,（十六 ),新兴产业,,新兴产业
190,１,微电子技术,,微电子技术
191,２,新材料,,新材料
192,３,生物工程技术（不包括基因工程技术）,,生物工程技术（不包括基因工程技术）
193,４,信息、通信系统网络技术,,信息、通信系统网络技术
194,５,同位素、辐射及激光技术,,同位素、辐射及激光技术
195,６,海洋开发及海洋能开发技术,,海洋开发及海洋能开发技术
196,７,海水淡化及利用技术,,海水淡化及利用技术
197,８,节约能源开发技术,,节约能源开发技术
198,９,资源再生及综合利用技术,,资源再生及综合利用技术
199,１０,环境污染治理工程及监测和治理技术,,环境污染治理工程及监测和治理技术
200,（十七 ),服务业,,服务业
201,１,国际经济、科技、环保信息咨询,,国际经济、科技、环保信息咨询
202,２,精密仪器设备维修、售后服务,,精密仪器设备维修、售后服务
203,３,高新技术、新产品开发中心的建设与企业孵化,,高新技术、新产品开发中心的建设与企业孵化
204,（十八 ),产品全部直接出口的允许类项目,,产品全部直接出口的允许类项目
205,,,,
206,（一 ),轻工业,,轻工业
207,１,洗衣机、电冰箱、冰柜生产,,洗衣机、电冰箱、冰柜生产
208,２,合成脂肪醇、醇醚及醇醚硫酸盐,,合成脂肪醇、醇醚及醇醚硫酸盐
209,３,空调、冰箱用轴功率２千瓦以下压缩机生产,,空调、冰箱用轴功率２千瓦以下压缩机生产
210,（二 ),纺织工业,,纺织工业
211,１,常规切片纺的化纤抽丝,,常规切片纺的化纤抽丝
212,２,单线能力在２万吨／年以下粘胶短纤维生产,,单线能力在２万吨／年以下粘胶短纤维生产
213,（三 ),石油、石油化工及化学工业,,石油、石油化工及化学工业
214,１,钡盐生产,,钡盐生产
215,２,５００万吨以下炼油厂建设,,５００万吨以下炼油厂建设
216,３,斜交轮胎、旧轮胎（子午胎除外）翻新及低性能工业橡胶配件生产,,斜交轮胎、旧轮胎（子午胎除外）翻新及低性能工业橡胶配件生产
217,４,硫酸法钛白粉生产,,硫酸法钛白粉生产
218,（四 ),机械工业,,机械工业
219,１,一般涤纶长丝、短纤维设备制造,,一般涤纶长丝、短纤维设备制造
220,２,柴油发电机组制造,,柴油发电机组制造
221,３,各种普通磨料（含刚玉、碳化硅），直径４００毫米以下砂轮及人造金刚石锯片生产,,各种普通磨料（含刚玉、碳化硅），直径４００毫米以下砂轮及人造金刚石锯片生产
222,４,电钻、电动砂轮机生产,,电钻、电动砂轮机生产
223,５,普通碳钢焊条,,普通碳钢焊条
224,６,普通级标准紧固件、小型和中小型普通轴承,,普通级标准紧固件、小型和中小型普通轴承
225,７,普通铅酸蓄电池,,普通铅酸蓄电池
226,８,集装箱,,集装箱
227,９,电梯,,电梯
228,１０,铝合金轮毂,,铝合金轮毂
229,（五 ),电子工业,,电子工业
230,１,卫星电视接收机及关键件,,卫星电视接收机及关键件
231,２,数字程控局用和用户交换机设备,,数字程控局用和用户交换机设备
232,（六 ),医药工业,,医药工业
233,１,氯霉素、洁霉素、庆大霉素、双氢链霉素、丁胺卡那霉素、盐酸四环素、土霉素、乙酰螺旋霉素、麦迪霉素、柱晶白霉素、红霉素、环丙氟哌酸、氟哌酸、氟嗪酸生产,,氯霉素、洁霉素、庆大霉素、双氢链霉素、丁胺卡那霉素、盐酸四环素、土霉素、乙酰螺旋霉素、麦迪霉素、柱晶白霉素、红霉素、环丙氟哌酸、氟哌酸、氟嗪酸生产
234,２,安乃近、阿斯匹林、扑热息痛、维生素Ｂ１、维生素Ｂ２、维生素Ｂ６生产,,安乃近、阿斯匹林、扑热息痛、维生素Ｂ１、维生素Ｂ２、维生素Ｂ６生产
235,（七 ),医疗器械制造业,,医疗器械制造业
236,１,中低档Ｂ型超声显像仪生产,,中低档Ｂ型超声显像仪生产
237,（八 ),运输服务业,,运输服务业
238,１,出租汽车（限于国内购车）,,出租汽车（限于国内购车）
239,２,加油站（限于与高速公路配套建设、经营）,,加油站（限于与高速公路配套建设、经营）
240,（乙 ),,,
241,（一 ),农、林、牧、渔业及相关工业,,农、林、牧、渔业及相关工业
242,１,粮食、棉花、油料种子开发生产（中方控股或占主导地位）,中方控股或占主导地位,粮食、棉花、油料种子开发生产
243,２,珍贵树种原木加工、出口（不允许外商独资）,,珍贵树种原木加工、出口（不允许外商独资）
244,３,近海及内陆水域水产捕捞业（不允许外商独资）,,近海及内陆水域水产捕捞业（不允许外商独资）
245,４,中药材种植、养殖（不允许外商独资）,,中药材种植、养殖（不允许外商独资）
246,（二 ),轻工业,,轻工业
247,１,食盐、工业用盐生产,,食盐、工业用盐生产
248,２,外国牌号无酒精饮料（含固体饮料）生产,,外国牌号无酒精饮料（含固体饮料）生产
249,３,黄酒、名牌白酒生产,,黄酒、名牌白酒生产
250,４,卷烟、过滤嘴棒等烟草加工业,,卷烟、过滤嘴棒等烟草加工业
251,５,猪、牛、羊蓝湿皮加工及生产,,猪、牛、羊蓝湿皮加工及生产
252,６,天然香料生产,,天然香料生产
253,７,油脂加工,,油脂加工
254,８,纸及纸板,,纸及纸板
255,（三 ),纺织工业,,纺织工业
256,１,毛纺织、棉纺织,,毛纺织、棉纺织
257,２,生丝、坯绸,,生丝、坯绸
258,３,高仿真化学纤维及芳纶、碳纤维等特种化纤（不允许外商独资）,,高仿真化学纤维及芳纶、碳纤维等特种化纤（不允许外商独资）
259,４,纤维级及非纤用聚酯、腈纶、氨纶（不允许外商独资）,,纤维级及非纤用聚酯、腈纶、氨纶（不允许外商独资）
260,（四 ),交通运输、邮电通信业,,交通运输、邮电通信业
261,１,干线铁路建设、经营（中方控股或占主导地位）,中方控股或占主导地位,干线铁路建设、经营
262,２,水上运输（中方控股或占主导地位）,中方控股或占主导地位,水上运输
263,３,出入境汽车运输（不允许外商独资）,,出入境汽车运输（不允许外商独资）
264,４,航空运输（中方控股或占主导地位）,中方控股或占主导地位,航空运输
265,５,通用航空（中方控股或占主导地位）,中方控股或占主导地位,通用航空
266,（五 ),电力工业,,电力工业
267,１,单机容量３０万千瓦以下常规燃煤火电厂的建设、经营（小电网、边远山区及低质煤、煤矸石电厂除外）,,单机容量３０万千瓦以下常规燃煤火电厂的建设、经营（小电网、边远山区及低质煤、煤矸石电厂除外）
268,（六 ),有色金属工业（不允许外商独资,,有色金属工业（不允许外商独资
269,１,铜加工、铝加工,,铜加工、铝加工
270,２,贵金属（金、银、铂族）矿产开采、选矿、冶炼、加工,,贵金属（金、银、铂族）矿产开采、选矿、冶炼、加工
271,３,钨、锡、锑矿等有色金属开采,,钨、锡、锑矿等有色金属开采
272,４,稀土勘查、开采、选矿、冶炼、分离,,稀土勘查、开采、选矿、冶炼、分离
273,（七 ),石油、石油化工及化学工业,,石油、石油化工及化学工业
274,１,感光材料（胶片、胶卷、ＰＳ版、相纸）,,感光材料（胶片、胶卷、ＰＳ版、相纸）
275,２,硼镁铁矿开采及加工,,硼镁铁矿开采及加工
276,３,联苯胺,,联苯胺
277,４,离子膜烧碱及有机氯系列化工产品,,离子膜烧碱及有机氯系列化工产品
278,５,子午线轮胎（中方控股或占主导地位）,中方控股或占主导地位,子午线轮胎
279,６,合成纤维原料：精对苯二甲酸、丙烯腈、己内酰胺、尼龙６６盐等,,合成纤维原料：精对苯二甲酸、丙烯腈、己内酰胺、尼龙６６盐等
280,（八 ),机械工业,,机械工业
