,output_file,content,restriction,sub_content
120,15,新型打印装置（激光打印机等）开发与制造,,新型打印装置（激光打印机等）开发与制造
121,16,数据通信多媒体系统设备制造,,数据通信多媒体系统设备制造
122,17,单模光纤生产,,单模光纤生产
123,18,接入网通信系统设备制造,,接入网通信系统设备制造
124,19,支撑通讯网的新技术设备制造,,支撑通讯网的新技术设备制造
125,20,宽带综合业务数字网设备（ＩＳＤＮ）制造,,宽带综合业务数字网设备（ＩＳＤＮ）制造
126,（十二 ),建筑材料、设备及其它非金属矿制品工业,,建筑材料、设备及其它非金属矿制品工业
127,1,日熔化500吨级及以上优质浮法玻璃生产线,,日熔化500吨级及以上优质浮法玻璃生产线
128,2,年产50万件及以上高档卫生瓷生产线及其配套的五金件、塑料件,,年产50万件及以上高档卫生瓷生产线及其配套的五金件、塑料件
129,3,新型建筑材料（墙体材料、装饰装修材料、防水材料、保温材料）,,新型建筑材料（墙体材料、装饰装修材料、防水材料、保温材料）
130,4,日产4000吨及以上水泥熟料新型干法水泥生产线（限于中西部地区）,,日产4000吨及以上水泥熟料新型干法水泥生产线（限于中西部地区）
131,5,散装水泥仓储运输设施,,散装水泥仓储运输设施
132,6,年产1万吨及以上玻璃纤维（池窑拉丝工艺生产线）及玻璃钢制品,,年产1万吨及以上玻璃纤维（池窑拉丝工艺生产线）及玻璃钢制品
133,7,无机非金属材料及制品（石英玻璃、人工晶体）,,无机非金属材料及制品（石英玻璃、人工晶体）
134,8,玻璃、陶瓷、玻璃纤维窑炉用高档耐火材料,,玻璃、陶瓷、玻璃纤维窑炉用高档耐火材料
135,9,平板玻璃深加工技术及设备制造,,平板玻璃深加工技术及设备制造
136,10,隧道挖掘机、城市地铁暗挖设备制造,,隧道挖掘机、城市地铁暗挖设备制造
137,11,城市卫生特种设备制造,,城市卫生特种设备制造
138,12,树木移载机械设备制造,,树木移载机械设备制造
139,13,路面铣平、翻修机械设备制造,,路面铣平、翻修机械设备制造
140,（十三 ),医药工业,,医药工业
141,1,受我国专利保护或行政保护的化学原料药，需进口的医药专用中间体,,受我国专利保护或行政保护的化学原料药，需进口的医药专用中间体
142,2,采用新技术设备生产解热镇痛药,,采用新技术设备生产解热镇痛药
143,3,维生素类：烟酸,,维生素类：烟酸
144,4,新型抗癌药物及新型心脑血管药,,新型抗癌药物及新型心脑血管药
145,5,药品制剂：采用缓释、控释、靶向、透皮吸收等新技术的新剂型、新产品,,药品制剂：采用缓释、控释、靶向、透皮吸收等新技术的新剂型、新产品
146,6,氨基酸类：丝氨酸、色氨酸、组氨酸等,,氨基酸类：丝氨酸、色氨酸、组氨酸等
147,7,新型药品包装材料、容器及先进的制药设备,,新型药品包装材料、容器及先进的制药设备
148,8,新型、高效、经济的避孕药具,,新型、高效、经济的避孕药具
149,9,中成药产品质量控制、改变剂型包装的新技术、新设备、新仪器,,中成药产品质量控制、改变剂型包装的新技术、新设备、新仪器
150,10,中药有效成分分析的新技术、提取的新工艺、新设备,,中药有效成分分析的新技术、提取的新工艺、新设备
151,11,采用生物工程技术生产的新型药物,,采用生物工程技术生产的新型药物
152,12,新型佐剂的开发应用,,新型佐剂的开发应用
153,13,肝炎、艾滋病及放射免疫类等诊断试剂生产,,肝炎、艾滋病及放射免疫类等诊断试剂生产
154,（十四 ),医疗器械制造业,,医疗器械制造业
155,1,具有中频技术、计算机控制技术和数字图象处理技术，辐射剂量小的80千瓦及以上医用Ｘ线机组,,具有中频技术、计算机控制技术和数字图象处理技术，辐射剂量小的80千瓦及以上医用Ｘ线机组
156,2,电子内窥镜,,电子内窥镜
157,3,医用导管,,医用导管
158,（十五 ),航天航空工业,,航天航空工业
159,1,民用飞机设计与制造（中方控股或占主导地位）,中方控股或占主导地位,民用飞机设计与制造
160,2,民用飞机零部件制造,,民用飞机零部件制造
161,3,航空发动机设计与制造（中方控股或占主导地位）,中方控股或占主导地位,航空发动机设计与制造
162,4,航空机载设备制造,,航空机载设备制造
163,5,轻型燃气轮机制造,,轻型燃气轮机制造
164,6,民用卫星设计与制造（中方控股或占主导地位）,中方控股或占主导地位,民用卫星设计与制造
165,7,民用卫星有效载荷制造（中方控股或占主导地位）,中方控股或占主导地位,民用卫星有效载荷制造
166,8,民用卫星零部件制造,,民用卫星零部件制造
167,9,民用卫星应用技术开发,,民用卫星应用技术开发
168,10,民用运载火箭设计与制造（中方控股或占主导地位）,中方控股或占主导地位,民用运载火箭设计与制造
169,（十六 ),新兴产业,,新兴产业
170,1,微电子技术,,微电子技术
171,2,新材料,,新材料
172,3,生物工程技术（不包括基因工程技术）,,生物工程技术（不包括基因工程技术）
173,4,信息、通信系统网络技术,,信息、通信系统网络技术
174,5,同位素、辐射及激光技术,,同位素、辐射及激光技术
175,6,海洋开发及海洋能开发技术,,海洋开发及海洋能开发技术
176,7,海水淡化及利用技术,,海水淡化及利用技术
177,8,节约能源开发技术,,节约能源开发技术
178,9,资源再生及综合利用技术,,资源再生及综合利用技术
179,10,环境污染治理工程及监测和治理技术,,环境污染治理工程及监测和治理技术
180,（十七 ),服务业,,服务业
181,1,国际经济、科技、环保信息咨询,,国际经济、科技、环保信息咨询
182,2,精密仪器设备维修、售后服务,,精密仪器设备维修、售后服务
183,3,高新技术、新产品开发中心的建设与企业孵化,,高新技术、新产品开发中心的建设与企业孵化
184,三、,制造业,,制造业
185,（一 ),轻工业,,轻工业
186,1,洗衣机、电冰箱、冰柜生产,,洗衣机、电冰箱、冰柜生产
187,2,合成脂肪醇、醇醚及醇醚硫酸盐,,合成脂肪醇、醇醚及醇醚硫酸盐
188,3,空调、冰箱用轴功率2千瓦以下压缩机生产,,空调、冰箱用轴功率2千瓦以下压缩机生产
189,（二 ),纺织工业,,纺织工业
190,1,常规切片纺的化纤抽丝,,常规切片纺的化纤抽丝
191,2,单线能力在2万吨／年以下粘胶短纤维生产,,单线能力在2万吨／年以下粘胶短纤维生产
192,（三 ),石油、石油化工及化学工业,,石油、石油化工及化学工业
193,1,钡盐生产,,钡盐生产
194,2,500万吨以下炼油厂建设,,500万吨以下炼油厂建设
195,3,斜交轮胎、旧轮胎（子午胎除外）翻新及低性能工业橡胶配件生产,,斜交轮胎、旧轮胎（子午胎除外）翻新及低性能工业橡胶配件生产
196,4,硫酸法钛白粉生产,,硫酸法钛白粉生产
197,（四 ),机械工业,,机械工业
198,1,一般涤纶长丝、短纤维设备制造,,一般涤纶长丝、短纤维设备制造
199,2,柴油发电机组制造,,柴油发电机组制造
200,3,各种普通磨料（含刚玉、碳化硅），直径400毫米以下砂轮及人造金刚石锯片生产,,各种普通磨料（含刚玉、碳化硅），直径400毫米以下砂轮及人造金刚石锯片生产
201,4,电钻、电动砂轮机生产,,电钻、电动砂轮机生产
202,5,普通碳钢焊条,,普通碳钢焊条
203,6,普通级标准紧固件、小型和中小型普通轴承,,普通级标准紧固件、小型和中小型普通轴承
204,7,普通铅酸蓄电池,,普通铅酸蓄电池
205,8,集装箱,,集装箱
206,9,电梯,,电梯
207,10,铝合金轮毂,,铝合金轮毂
208,（五 ),电子工业,,电子工业
209,1,卫星电视接收机及关键件,,卫星电视接收机及关键件
210,2,数字程控局用和用户交换机设备,,数字程控局用和用户交换机设备
211,（六 ),医药工业,,医药工业
212,1,氯霉素、洁霉素、庆大霉素、双氢链霉素、丁胺卡那霉素、盐酸四环素、土霉素、乙酰螺旋霉素、麦迪霉素、柱晶白霉素、红霉素、环丙氟哌酸、氟哌酸、氟嗪酸生产,,氯霉素、洁霉素、庆大霉素、双氢链霉素、丁胺卡那霉素、盐酸四环素、土霉素、乙酰螺旋霉素、麦迪霉素、柱晶白霉素、红霉素、环丙氟哌酸、氟哌酸、氟嗪酸生产
213,2,安乃近、阿斯匹林、扑热息痛、维生素Ｂ1、维生素Ｂ2、维生素Ｂ6生产,,安乃近、阿斯匹林、扑热息痛、维生素Ｂ1、维生素Ｂ2、维生素Ｂ6生产
214,（七 ),医疗器械制造业,,医疗器械制造业
215,1,中低档Ｂ型超声显像仪生产,,中低档Ｂ型超声显像仪生产
216,（八 ),运输服务业,,运输服务业
217,1,出租汽车（限于国内购车）,,出租汽车（限于国内购车）
218,2,加油站（限于与高速公路配套建设、经营）,,加油站（限于与高速公路配套建设、经营）
219,（乙 ),类,,类
220,（二 ),轻工业,,轻工业
221,1,食盐、工业用盐生产,,食盐、工业用盐生产
222,2,外国牌号无酒精饮料（含固体饮料）生产,,外国牌号无酒精饮料（含固体饮料）生产
223,3,黄酒、名牌白酒生产,,黄酒、名牌白酒生产
224,4,卷烟、过滤嘴棒等烟草加工业,,卷烟、过滤嘴棒等烟草加工业
225,5,猪、牛、羊蓝湿皮加工及生产,,猪、牛、羊蓝湿皮加工及生产
226,6,天然香料生产,,天然香料生产
227,7,油脂加工,,油脂加工
228,8,纸及纸板,,纸及纸板
229,（三 ),纺织工业,,纺织工业
230,1,毛纺织、棉纺织,,毛纺织、棉纺织
231,2,生丝、坯绸,,生丝、坯绸
232,3,高仿真化学纤维及芳纶、碳纤维等特种化纤（不允许外商独资）,不允许外商独资,高仿真化学纤维及芳纶、碳纤维等特种化纤
233,4,纤维级及非纤用聚酯、腈纶、氨纶（不允许外商独资）,不允许外商独资,纤维级及非纤用聚酯、腈纶、氨纶
234,（四 ),交通运输、邮电通信业,,交通运输、邮电通信业
235,1,干线铁路建设、经营（中方控股或占主导地位）,中方控股或占主导地位,干线铁路建设、经营
236,2,水上运输（中方控股或占主导地位）,中方控股或占主导地位,水上运输
237,3,出入境汽车运输（不允许外商独资）,不允许外商独资,出入境汽车运输
238,4,航空运输（中方控股或占主导地位）,中方控股或占主导地位,航空运输
239,5,通用航空（中方控股或占主导地位）,中方控股或占主导地位,通用航空
240,（五 ),电力工业,,电力工业
241,1,单机容量30万千瓦以下常规燃煤火电厂的建设、经营（小电网、边远山区及低质煤、煤矸石电厂除外）,,单机容量30万千瓦以下常规燃煤火电厂的建设、经营（小电网、边远山区及低质煤、煤矸石电厂除外）
242,（六 ),有色金属工业（不允许外商独资,不允许外商独资,有色金属工业
243,1,铜加工、铝加工,,铜加工、铝加工
244,2,贵金属（金、银、铂族）矿产开采、选矿、冶炼、加工,,贵金属（金、银、铂族）矿产开采、选矿、冶炼、加工
245,3,钨、锡、锑矿等有色金属开采,,钨、锡、锑矿等有色金属开采
246,4,稀土勘查、开采、选矿、冶炼、分离,,稀土勘查、开采、选矿、冶炼、分离
247,（七 ),石油、石油化工及化学工业,,石油、石油化工及化学工业
248,1,感光材料（胶片、胶卷、ＰＳ版、相纸）,,感光材料（胶片、胶卷、ＰＳ版、相纸）
249,2,硼镁铁矿开采及加工,,硼镁铁矿开采及加工
250,3,联苯胺,,联苯胺
251,4,离子膜烧碱及有机氯系列化工产品,,离子膜烧碱及有机氯系列化工产品
252,5,子午线轮胎（中方控股或占主导地位）,中方控股或占主导地位,子午线轮胎
253,6,合成纤维原料：精对苯二甲酸、丙烯腈、己内酰胺、尼龙66盐等,,合成纤维原料：精对苯二甲酸、丙烯腈、己内酰胺、尼龙66盐等
254,（八 ),机械工业,,机械工业
255,1,汽车（含各类轿车、载货车、客车、改装车）及摩托车整车（中方控股或占主导地位）,中方控股或占主导地位,汽车（含各类轿车、载货车、客车、改装车）及摩托车整车
256,2,汽车、摩托车发动机（中方控股或占主导地位）,中方控股或占主导地位,汽车、摩托车发动机
257,3,汽车用空调压缩机、电子控制燃油喷射系统、电子控制制动防抱死系统、安全气囊及其它汽车电子设备系统、电机、铝散热器制造,,汽车用空调压缩机、电子控制燃油喷射系统、电子控制制动防抱死系统、安全气囊及其它汽车电子设备系统、电机、铝散热器制造
258,4,旧汽车、摩托车及其发动机翻新、拆解（改装）,,旧汽车、摩托车及其发动机翻新、拆解（改装）
259,5,火电设备：10万千瓦及以上机组（发电机、汽轮机、锅炉、辅机和控制装置）、燃气轮机联合循环发电设备、循环流化床锅炉、煤气化联合循环技术及装备（ＩＧＣＣ）、增压流化床（ＰＦＢＣ）、脱硫及脱硝设备制造（不允许外商独资）,不允许外商独资,火电设备：10万千瓦及以上机组（发电机、汽轮机、锅炉、辅机和控制装置）、燃气轮机联合循环发电设备、循环流化床锅炉、煤气化联合循环技术及装备（ＩＧＣＣ）、增压流化床（ＰＦＢＣ）、脱硫及脱硝设备制造
260,6,水电设备：转轮直径5米及以上水电机组（含水电辅机和控制装置）、5万千瓦及以上大型抽水蓄能机组、1万千瓦及以上大型贯流式机组制造（不允许外商独资）,不允许外商独资,水电设备：转轮直径5米及以上水电机组（含水电辅机和控制装置）、5万千瓦及以上大型抽水蓄能机组、1万千瓦及以上大型贯流式机组制造
261,7,核电机组：60万千瓦及以上机组制造（不允许外商独资）,不允许外商独资,核电机组：60万千瓦及以上机组制造
262,8,输变电设备：220千伏及以上大型变压器、高压开关、互感器、电缆设备制造（不允许外商独资）,不允许外商独资,输变电设备：220千伏及以上大型变压器、高压开关、互感器、电缆设备制造
263,9,320马力以下履带式推土机、3立方米以下轮式装载机、50吨以下汽车起重机（不允许外商独资）,不允许外商独资,320马力以下履带式推土机、3立方米以下轮式装载机、50吨以下汽车起重机
264,10,薄板连铸机制造,,薄板连铸机制造
265,11,复印机、照相机,,复印机、照相机
266,（九 ),电子工业,,电子工业
267,1,彩色电视机（含投影电视机）、彩色显像管及玻壳,,彩色电视机（含投影电视机）、彩色显像管及玻壳
268,2,摄像机（含摄录一体机）,,摄像机（含摄录一体机）
269,3,录像机、录像机磁头、磁鼓、机芯,,录像机、录像机磁头、磁鼓、机芯
270,4,模拟移动通信系统（蜂窝、集群、无线寻呼、无线电话）,,模拟移动通信系统（蜂窝、集群、无线寻呼、无线电话）
271,5,卫星导航定位接受设备及关键部件（不允许外商独资）,不允许外商独资,卫星导航定位接受设备及关键部件
272,6,稀路由卫星通信（ＶＳＡＴ）系统设备制造,,稀路由卫星通信（ＶＳＡＴ）系统设备制造
