,output_file,content,restriction,sub_content
42,11,高性能氟树脂、氟膜材料，医用含氟中间体，环境友好型制冷剂和清洁剂生产,,高性能氟树脂、氟膜材料，医用含氟中间体，环境友好型制冷剂和清洁剂生产
43,12,从磷化工、铝冶炼中回收氟资源生产,,从磷化工、铝冶炼中回收氟资源生产
44,13,林业化学产品新技术、新产品开发与生产,,林业化学产品新技术、新产品开发与生产
45,14,环保用无机、有机和生物膜开发与生产,,环保用无机、有机和生物膜开发与生产
46,15,新型肥料开发与生产：生物肥料、高浓度钾肥、复合肥料、缓释可控肥料、复合型微生物接种剂、复合微生物肥料、秸杆及垃圾腐熟剂、特殊功能微生物制剂,,新型肥料开发与生产：生物肥料、高浓度钾肥、复合肥料、缓释可控肥料、复合型微生物接种剂、复合微生物肥料、秸杆及垃圾腐熟剂、特殊功能微生物制剂
47,16,高效、安全、环境友好的农药新品种、新剂型、专用中间体、助剂的开发与生产，以及相关清洁生产工艺的开发和应用（甲叉法乙草胺、胺氰法百草枯、水相法毒死蜱工艺、草甘膦回收氯甲烷工艺、定向合成法手性和立体结构农药生产、乙基氯化物合成技术）,,高效、安全、环境友好的农药新品种、新剂型、专用中间体、助剂的开发与生产，以及相关清洁生产工艺的开发和应用（甲叉法乙草胺、胺氰法百草枯、水相法毒死蜱工艺、草甘膦回收氯甲烷工艺、定向合成法手性和立体结构农药生产、乙基氯化物合成技术）
48,17,生物农药及生物防治产品开发与生产：微生物杀虫剂、微生物杀菌剂、农用抗生素、昆虫信息素、天敌昆虫、微生物除草剂,,生物农药及生物防治产品开发与生产：微生物杀虫剂、微生物杀菌剂、农用抗生素、昆虫信息素、天敌昆虫、微生物除草剂
49,18,废气、废液、废渣综合利用和处理、处置,,废气、废液、废渣综合利用和处理、处置
50,19,有机高分子材料生产：飞机蒙皮涂料、稀土硫化铈红色染料、无铅化电子封装材料、彩色等离子体显示屏专用系列光刻浆料、小直径大比表面积超细纤维、高精度燃油滤纸、锂离子电池隔膜,,有机高分子材料生产：飞机蒙皮涂料、稀土硫化铈红色染料、无铅化电子封装材料、彩色等离子体显示屏专用系列光刻浆料、小直径大比表面积超细纤维、高精度燃油滤纸、锂离子电池隔膜
51,（十一）,医药制造业,,医药制造业
52,1,新型化合物药物或活性成份药物的生产（包括原料药和制剂）,,新型化合物药物或活性成份药物的生产（包括原料药和制剂）
53,2,氨基酸类：发酵法生产色氨酸、组氨酸、饲料用蛋氨酸等生产,,氨基酸类：发酵法生产色氨酸、组氨酸、饲料用蛋氨酸等生产
54,3,新型抗癌药物、新型心脑血管药及新型神经系统用药生产,,新型抗癌药物、新型心脑血管药及新型神经系统用药生产
55,4,采用生物工程技术的新型药物生产,,采用生物工程技术的新型药物生产
56,5,艾滋病疫苗、丙肝疫苗、避孕疫苗及宫颈癌、疟疾、手足口病等新型疫苗生产,,艾滋病疫苗、丙肝疫苗、避孕疫苗及宫颈癌、疟疾、手足口病等新型疫苗生产
57,6,生物疫苗生产,,生物疫苗生产
58,7,海洋药物开发与生产,,海洋药物开发与生产
59,8,药品制剂：采用缓释、控释、靶向、透皮吸收等新技术的新剂型、新产品生产,,药品制剂：采用缓释、控释、靶向、透皮吸收等新技术的新剂型、新产品生产
60,9,新型药用辅料的开发及生产,,新型药用辅料的开发及生产
61,10,动物专用抗菌原料药生产（包括抗生素、化学合成类）,,动物专用抗菌原料药生产（包括抗生素、化学合成类）
62,11,兽用抗菌药、驱虫药、杀虫药、抗球虫药新产品及新剂型生产,,兽用抗菌药、驱虫药、杀虫药、抗球虫药新产品及新剂型生产
63,12,新型诊断试剂的生产,,新型诊断试剂的生产
64,（十二）,化学纤维制造业,,化学纤维制造业
65,1,差别化化学纤维及芳纶、碳纤维、高强高模聚乙烯、聚苯硫醚（PPS）等高新技术化纤（粘胶纤维除外）生产,,差别化化学纤维及芳纶、碳纤维、高强高模聚乙烯、聚苯硫醚（PPS）等高新技术化纤（粘胶纤维除外）生产
66,2,纤维及非纤维用新型聚酯生产：聚对苯二甲酸丙二醇酯（PTT）、聚葵二酸乙二醇酯（PEN）、聚对苯二甲酸环己烷二甲醇酯（PCT）、二元醇改性聚对苯二甲酸乙二醇酯（PETG）,,纤维及非纤维用新型聚酯生产：聚对苯二甲酸丙二醇酯（PTT）、聚葵二酸乙二醇酯（PEN）、聚对苯二甲酸环己烷二甲醇酯（PCT）、二元醇改性聚对苯二甲酸乙二醇酯（PETG）
67,3,利用新型可再生资源和绿色环保工艺生产生物质纤维，包括新溶剂法纤维素纤维（Lyocell）、以竹、麻等为原料的再生纤维素纤维、聚乳酸纤维（PLA）、甲壳素纤维、聚羟基脂肪酸酯纤维（PHA）、动植物蛋白纤维等,,利用新型可再生资源和绿色环保工艺生产生物质纤维，包括新溶剂法纤维素纤维（Lyocell）、以竹、麻等为原料的再生纤维素纤维、聚乳酸纤维（PLA）、甲壳素纤维、聚羟基脂肪酸酯纤维（PHA）、动植物蛋白纤维等
68,4,单线生产能力日产150吨及以上聚酰胺生产,,单线生产能力日产150吨及以上聚酰胺生产
69,5,子午胎用芳纶纤维及帘线生产,,子午胎用芳纶纤维及帘线生产
70,（十三）,塑料制品业,,塑料制品业
71,1,新型光生态多功能宽幅农用薄膜开发与生产,,新型光生态多功能宽幅农用薄膜开发与生产
72,2,废旧塑料的消解和再利用,,废旧塑料的消解和再利用
73,3,塑料软包装新技术、新产品（高阻隔、多功能膜及原料）开发与生产,,塑料软包装新技术、新产品（高阻隔、多功能膜及原料）开发与生产
74,（十四）,非金属矿物制品业,,非金属矿物制品业
75,1,节能、环保、利废、轻质高强、高性能、多功能建筑材料开发生产,,节能、环保、利废、轻质高强、高性能、多功能建筑材料开发生产
76,2,以塑代钢、以塑代木、节能高效的化学建材品生产,,以塑代钢、以塑代木、节能高效的化学建材品生产
77,3,年产1000万平方米及以上弹性体、塑性体改性沥青防水卷材，宽幅（2米以上）三元乙丙橡胶防水卷材及配套材料，宽幅（2米以上）聚氯乙烯防水卷材，热塑性聚烯烃（TPO）防水卷材生产,,年产1000万平方米及以上弹性体、塑性体改性沥青防水卷材，宽幅（2米以上）三元乙丙橡胶防水卷材及配套材料，宽幅（2米以上）聚氯乙烯防水卷材，热塑性聚烯烃（TPO）防水卷材生产
78,4,新技术功能玻璃开发生产：屏蔽电磁波玻璃、微电子用玻璃基板、透红外线无铅玻璃、电子级大规格石英玻璃制品（管、板、坩埚、仪器器皿等）、光学性能优异多功能风挡玻璃、信息技术用极端材料及制品（包括波导级高精密光纤预制棒石英玻璃套管和陶瓷基板）、高纯（≥99.998%）超纯（≥99.999%）水晶原料提纯加工,,新技术功能玻璃开发生产：屏蔽电磁波玻璃、微电子用玻璃基板、透红外线无铅玻璃、电子级大规格石英玻璃制品（管、板、坩埚、仪器器皿等）、光学性能优异多功能风挡玻璃、信息技术用极端材料及制品（包括波导级高精密光纤预制棒石英玻璃套管和陶瓷基板）、高纯（≥99.998%）超纯（≥99.999%）水晶原料提纯加工
79,5,薄膜电池导电玻璃、太阳能集光镜玻璃生产,,薄膜电池导电玻璃、太阳能集光镜玻璃生产
80,6,玻璃纤维制品及特种玻璃纤维生产：低介电玻璃纤维、石英玻璃纤维、高硅氧玻璃纤维、高强高弹玻璃纤维、陶瓷纤维等及其制品,,玻璃纤维制品及特种玻璃纤维生产：低介电玻璃纤维、石英玻璃纤维、高硅氧玻璃纤维、高强高弹玻璃纤维、陶瓷纤维等及其制品
81,7,光学纤维及制品生产：传像束及激光医疗光纤、超二代和三代微通道板、光学纤维面板、倒像器及玻璃光锥,,光学纤维及制品生产：传像束及激光医疗光纤、超二代和三代微通道板、光学纤维面板、倒像器及玻璃光锥
82,8,陶瓷原料的标准化精制、陶瓷用高档装饰材料生产,,陶瓷原料的标准化精制、陶瓷用高档装饰材料生产
83,9,水泥、电子玻璃、陶瓷、微孔炭砖等窑炉用环保（无铬化）耐火材料生产,,水泥、电子玻璃、陶瓷、微孔炭砖等窑炉用环保（无铬化）耐火材料生产
84,10,氮化铝（AlN）陶瓷基片、多孔陶瓷生产,,氮化铝（AlN）陶瓷基片、多孔陶瓷生产
85,11,无机非金属新材料及制品生产：复合材料、特种陶瓷、特种密封材料（含高速油封材料）、特种摩擦材料（含高速摩擦制动制品）、特种胶凝材料、特种乳胶材料、水声橡胶制品、纳米材料,,无机非金属新材料及制品生产：复合材料、特种陶瓷、特种密封材料（含高速油封材料）、特种摩擦材料（含高速摩擦制动制品）、特种胶凝材料、特种乳胶材料、水声橡胶制品、纳米材料
86,12,有机-无机复合泡沫保温材料生产,,有机-无机复合泡沫保温材料生产
87,13,高技术复合材料生产：连续纤维增强热塑性复合材料和预浸料、耐温＞300℃树脂基复合材料成型用工艺辅助材料、树脂基复合材料（包括高档体育用品、轻质高强交通工具部件）、特种功能复合材料及制品（包括深水及潜水复合材料制品、医用及康复用复合材料制品）、碳/碳复合材料、高性能陶瓷基复合材料及制品、金属基和玻璃基复合材料及制品、金属层状复合材料及制品、压力≥320MPa超高压复合胶管、大型客机航空轮胎,,高技术复合材料生产：连续纤维增强热塑性复合材料和预浸料、耐温＞300℃树脂基复合材料成型用工艺辅助材料、树脂基复合材料（包括高档体育用品、轻质高强交通工具部件）、特种功能复合材料及制品（包括深水及潜水复合材料制品、医用及康复用复合材料制品）、碳/碳复合材料、高性能陶瓷基复合材料及制品、金属基和玻璃基复合材料及制品、金属层状复合材料及制品、压力≥320MPa超高压复合胶管、大型客机航空轮胎
88,14,精密高性能陶瓷原料生产：碳化硅（SiC）超细粉体（纯度＞99%，平均粒径＜1μm）、氮化硅（Si3N4）超细粉体（纯度＞99%，平均粒径＜1μm）、高纯超细氧化铝微粉（纯度＞99.9%，平均粒径＜0.5μm）、低温烧结氧化锆(ZrO2)粉体（烧结温度＜1350℃）、高纯氮化铝（AlN）粉体（纯度＞99%，平均粒径＜1μm）、金红石型TiO2粉体（纯度＞98.5%）、白炭黑（粒径＜100nm）、钛酸钡（纯度＞99%，粒径＜1μm）,,精密高性能陶瓷原料生产：碳化硅（SiC）超细粉体（纯度＞99%，平均粒径＜1μm）、氮化硅（Si3N4）超细粉体（纯度＞99%，平均粒径＜1μm）、高纯超细氧化铝微粉（纯度＞99.9%，平均粒径＜0.5μm）、低温烧结氧化锆(ZrO2)粉体（烧结温度＜1350℃）、高纯氮化铝（AlN）粉体（纯度＞99%，平均粒径＜1μm）、金红石型TiO2粉体（纯度＞98.5%）、白炭黑（粒径＜100nm）、钛酸钡（纯度＞99%，粒径＜1μm）
89,15,高品质人工晶体及晶体薄膜制品开发生产：高品质人工合成水晶（压电晶体及透紫外光晶体）、超硬晶体（立方氮化硼晶体）、耐高温高绝缘人工合成绝缘晶体（人工合成云母）、新型电光晶体、大功率激光晶体及大规格闪烁晶体、金刚石膜工具、厚度0.3mm及以下超薄人造金刚石锯片,,高品质人工晶体及晶体薄膜制品开发生产：高品质人工合成水晶（压电晶体及透紫外光晶体）、超硬晶体（立方氮化硼晶体）、耐高温高绝缘人工合成绝缘晶体（人工合成云母）、新型电光晶体、大功率激光晶体及大规格闪烁晶体、金刚石膜工具、厚度0.3mm及以下超薄人造金刚石锯片
90,16,非金属矿精细加工（超细粉碎、高纯、精制、改性）,,非金属矿精细加工（超细粉碎、高纯、精制、改性）
91,17,超高功率石墨电极生产,,超高功率石墨电极生产
92,18,珠光云母生产（粒径3-150μm）,,珠光云母生产（粒径3-150μm）
93,19,多维多向整体编制织物及仿形织物生产,,多维多向整体编制织物及仿形织物生产
94,20,利用新型干法水泥窑无害化处置固体废弃物,,利用新型干法水泥窑无害化处置固体废弃物
95,21,建筑垃圾再生利用,,建筑垃圾再生利用
96,22,工业副产石膏综合利用,,工业副产石膏综合利用
97,23,非金属矿山尾矿综合利用的新技术开发和应用及矿山生态恢复,,非金属矿山尾矿综合利用的新技术开发和应用及矿山生态恢复
98,（十五）,有色金属冶炼及压延加工业,,有色金属冶炼及压延加工业
99,1,直径200mm以上硅单晶及抛光片生产,,直径200mm以上硅单晶及抛光片生产
100,2,高新技术有色金属材料生产：化合物半导体材料（砷化镓、磷化镓、磷化锢、氮化镓），高温超导材料，记忆合金材料(钛镍、铜基及铁基记忆合金材料)，超细（纳米）碳化钙及超细（纳米）晶硬质合金，超硬复合材料，贵金属复合材料，散热器用铝箔，中高压阴极电容铝箔，特种大型铝合金型材，铝合金精密模锻件，电气化铁路架空导线，超薄铜带，耐蚀热交换器铜合金材，高性能铜镍、铜铁合金带，铍铜带、线、管及棒加工材，耐高温抗衰钨丝，镁合金铸件，无铅焊料，镁合金及其应用产品，泡沫铝，钛合金带材及钛焊接管，原子能级海绵锆，钨及钼深加工产品,,高新技术有色金属材料生产：化合物半导体材料（砷化镓、磷化镓、磷化锢、氮化镓），高温超导材料，记忆合金材料(钛镍、铜基及铁基记忆合金材料)，超细（纳米）碳化钙及超细（纳米）晶硬质合金，超硬复合材料，贵金属复合材料，散热器用铝箔，中高压阴极电容铝箔，特种大型铝合金型材，铝合金精密模锻件，电气化铁路架空导线，超薄铜带，耐蚀热交换器铜合金材，高性能铜镍、铜铁合金带，铍铜带、线、管及棒加工材，耐高温抗衰钨丝，镁合金铸件，无铅焊料，镁合金及其应用产品，泡沫铝，钛合金带材及钛焊接管，原子能级海绵锆，钨及钼深加工产品
101,（十六）,金属制品业,,金属制品业
102,1,航空、航天、汽车、摩托车轻量化及环保型新材料研发与制造（专用铝板、铝镁合金材料、摩托车铝合金车架等）,,航空、航天、汽车、摩托车轻量化及环保型新材料研发与制造（专用铝板、铝镁合金材料、摩托车铝合金车架等）
103,2,建筑五金件、水暖器材及其五金件开发、生产,,建筑五金件、水暖器材及其五金件开发、生产
104,3,用于包装各类粮油食品、果蔬、饮料、日化产品等内容物的金属包装制品（厚度0.3毫米以下）的制造及加工（包括制品的内外壁印涂加工）,,用于包装各类粮油食品、果蔬、饮料、日化产品等内容物的金属包装制品（厚度0.3毫米以下）的制造及加工（包括制品的内外壁印涂加工）
105,4,节镍不锈钢制品的制造,,节镍不锈钢制品的制造
106,（十七）,通用设备制造业,,通用设备制造业
107,1,高档数控机床及关键零部件制造：五轴联动数控机床、数控坐标镗铣加工中心、数控坐标磨床、五轴联动数控系统及伺服装置、精密数控加工用高速超硬刀具,,高档数控机床及关键零部件制造：五轴联动数控机床、数控坐标镗铣加工中心、数控坐标磨床、五轴联动数控系统及伺服装置、精密数控加工用高速超硬刀具
108,2,1000吨及以上多工位镦锻成型机制造,,1000吨及以上多工位镦锻成型机制造
109,3,报废汽车拆解、破碎及后处理分选设备制造,,报废汽车拆解、破碎及后处理分选设备制造
110,4,FTL柔性生产线制造,,FTL柔性生产线制造
111,5,垂直多关节工业机器人、焊接机器人及其焊接装置设备制造,,垂直多关节工业机器人、焊接机器人及其焊接装置设备制造
112,6,特种加工机械制造：激光切割和拼焊成套设备、激光精密加工设备、数控低速走丝电火花线切割机、亚微米级超细粉碎机,,特种加工机械制造：激光切割和拼焊成套设备、激光精密加工设备、数控低速走丝电火花线切割机、亚微米级超细粉碎机
113,7,400吨及以上轮式、履带式起重机械制造（限于合资、合作）,限于合资、合作,400吨及以上轮式、履带式起重机械制造
114,8,工作压力≥35MPa高压柱塞泵及马达、工作压力≥35MPa低速大扭矩马达的设计与制造,,工作压力≥35MPa高压柱塞泵及马达、工作压力≥35MPa低速大扭矩马达的设计与制造
115,9,工作压力≥25MPa的整体式液压多路阀，电液比例伺服元件制造,,工作压力≥25MPa的整体式液压多路阀，电液比例伺服元件制造
116,10,阀岛、功率0.35W以下气动电磁阀、200Hz以上高频电控气阀设计与制造,,阀岛、功率0.35W以下气动电磁阀、200Hz以上高频电控气阀设计与制造
117,11,静液压驱动装置设计与制造,,静液压驱动装置设计与制造
118,12,压力10MPa以上非接触式气膜密封、压力10MPa以上干气密封（包括实验装置）的开发与制造,,压力10MPa以上非接触式气膜密封、压力10MPa以上干气密封（包括实验装置）的开发与制造
119,13,汽车用高分子材料（摩擦片、改型酚醛活塞、非金属液压总分泵等）设备开发与制造,,汽车用高分子材料（摩擦片、改型酚醛活塞、非金属液压总分泵等）设备开发与制造
120,14,第三、四代轿车轮毂轴承（轴承内、外圈带法兰盘和传感器的轮毂轴承功能部件），高中档数控机床和加工中心轴承（加工中心具有三轴以上联动功能、定位重复精度为3-4μm），高速线材、板材轧机轴承（单途线材轧机轧速120m/s及以上、薄板轧机加工板厚度2mm及以上的支承和工作辊轴承），高速铁路轴承（行驶速度大于200km/h），振动值Z4以下低噪音轴承（Z4、Z4P、V4、V4P噪音级），各类轴承的P4、P2级轴承，风力发电机组轴承（2兆瓦以上风力发电机组主轴轴承、增速器轴承、发电机轴承等），航空轴承（航空发动机主轴轴承、起落架轴承、传动系统轴承、操纵系统轴承等）制造,,第三、四代轿车轮毂轴承（轴承内、外圈带法兰盘和传感器的轮毂轴承功能部件），高中档数控机床和加工中心轴承（加工中心具有三轴以上联动功能、定位重复精度为3-4μm），高速线材、板材轧机轴承（单途线材轧机轧速120m/s及以上、薄板轧机加工板厚度2mm及以上的支承和工作辊轴承），高速铁路轴承（行驶速度大于200km/h），振动值Z4以下低噪音轴承（Z4、Z4P、V4、V4P噪音级），各类轴承的P4、P2级轴承，风力发电机组轴承（2兆瓦以上风力发电机组主轴轴承、增速器轴承、发电机轴承等），航空轴承（航空发动机主轴轴承、起落架轴承、传动系统轴承、操纵系统轴承等）制造
121,15,高密度、高精度、形状复杂的粉末冶金零件及汽车、工程机械等用链条的制造,,高密度、高精度、形状复杂的粉末冶金零件及汽车、工程机械等用链条的制造
122,16,风电、高速列车用齿轮变速器，船用可变桨齿轮传动系统，大型、重载齿轮箱的制造,,风电、高速列车用齿轮变速器，船用可变桨齿轮传动系统，大型、重载齿轮箱的制造
123,17,耐高温绝缘材料（绝缘等级为F、Ｈ级）及绝缘成型件制造,,耐高温绝缘材料（绝缘等级为F、Ｈ级）及绝缘成型件制造
124,18,蓄能器胶囊、液压气动用橡塑密封件开发与制造,,蓄能器胶囊、液压气动用橡塑密封件开发与制造
125,19,高精度、高强度（12.9级以上）、异形、组合类紧固件制造,,高精度、高强度（12.9级以上）、异形、组合类紧固件制造
126,20,微型精密传动联结件（离合器）制造,,微型精密传动联结件（离合器）制造
127,21,大型轧机连接轴制造,,大型轧机连接轴制造
128,22,机床、工程机械、铁路机车装备等机械设备再制造及汽车零部件再制造,,机床、工程机械、铁路机车装备等机械设备再制造及汽车零部件再制造
129,（十八）,专用设备制造业,,专用设备制造业
130,1,矿山无轨采、装、运设备制造：200吨及以上机械传动矿用自卸车，移动式破碎机，5000立方米／小时及以上斗轮挖掘机，8立方米及以上矿用装载机，,,矿山无轨采、装、运设备制造：200吨及以上机械传动矿用自卸车，移动式破碎机，5000立方米／小时及以上斗轮挖掘机，8立方米及以上矿用装载机，
131,2,物探、测井设备制造：MEME地震检波器，数字遥测地震仪，数字成像、数控测井系统，水平井、定向井、钻机装置及器具，MWD随钻测井仪,,物探、测井设备制造：MEME地震检波器，数字遥测地震仪，数字成像、数控测井系统，水平井、定向井、钻机装置及器具，MWD随钻测井仪
132,3,石油勘探、钻井、集输设备制造：工作水深大于1500米的浮式钻井系统和浮式生产系统及配套海底采油、集输设备,,石油勘探、钻井、集输设备制造：工作水深大于1500米的浮式钻井系统和浮式生产系统及配套海底采油、集输设备
133,4,口径2米以上深度30米以上大口径旋挖钻机、直径1.2米以上顶管机、回拖力300吨以上大型非开挖铺设地下管线成套设备、地下连续墙施工钻机制造,,口径2米以上深度30米以上大口径旋挖钻机、直径1.2米以上顶管机、回拖力300吨以上大型非开挖铺设地下管线成套设备、地下连续墙施工钻机制造
134,5,520马力及以上大型推土机设计与制造,,520马力及以上大型推土机设计与制造
135,6,100立方米/小时及以上规格的清淤机、1000吨及以上挖泥船的挖泥装置设计与制造,,100立方米/小时及以上规格的清淤机、1000吨及以上挖泥船的挖泥装置设计与制造
136,7,防汛堤坝用混凝土防渗墙施工装备设计与制造,,防汛堤坝用混凝土防渗墙施工装备设计与制造
137,8,水下土石方施工机械制造：水深9米以下推土机、装载机、挖掘机等,,水下土石方施工机械制造：水深9米以下推土机、装载机、挖掘机等
138,9,公路桥梁养护、自动检测设备制造,,公路桥梁养护、自动检测设备制造
139,10,公路隧道营运监控、通风、防灾和救助系统设备制造,,公路隧道营运监控、通风、防灾和救助系统设备制造
140,11,铁路大型施工、铁路线路、桥梁、隧道维修养护机械和检查、监测设备及其关键零部件的设计与制造,,铁路大型施工、铁路线路、桥梁、隧道维修养护机械和检查、监测设备及其关键零部件的设计与制造
141,12,（沥青）油毡瓦设备、镀锌钢板等金属屋顶生产设备制造,,（沥青）油毡瓦设备、镀锌钢板等金属屋顶生产设备制造
142,13,环保节能型现场喷涂聚氨酯防水保温系统设备、聚氨酯密封膏配制技术与设备、改性硅酮密封膏配制技术和生产设备制造,,环保节能型现场喷涂聚氨酯防水保温系统设备、聚氨酯密封膏配制技术与设备、改性硅酮密封膏配制技术和生产设备制造
143,14,高精度带材轧机（厚度精度10微米）设计与制造,,高精度带材轧机（厚度精度10微米）设计与制造
144,15,多元素、细颗粒、难选冶金属矿产的选矿装置制造,,多元素、细颗粒、难选冶金属矿产的选矿装置制造
145,16,100万吨/年及以上乙烯成套设备中的关键设备制造：年处理能力40万吨以上混合造粒机，直径1000毫米及以上螺旋卸料离心机，小流量高扬程离心泵,,100万吨/年及以上乙烯成套设备中的关键设备制造：年处理能力40万吨以上混合造粒机，直径1000毫米及以上螺旋卸料离心机，小流量高扬程离心泵
146,17,大型煤化工成套设备制造（限于合资、合作）,限于合资、合作,大型煤化工成套设备制造
147,18,金属制品模具（铜、铝、钛、锆的管、棒、型材挤压模具）设计、制造,,金属制品模具（铜、铝、钛、锆的管、棒、型材挤压模具）设计、制造
